"","TCGA_AC_A2FM_01","TCGA_AC_A2FF_01","TCGA_AC_A2FB_01","TCGA_GI_A2C9_01","TCGA_BH_A1FE_01","TCGA_BH_A18V_01","TCGA_E2_A15K_01","TCGA_BH_A0B3_01","TCGA_BH_A0AZ_01","TCGA_BH_A0BJ_01","TCGA_BH_A0BS_01","TCGA_BH_A0BW_01","TCGA_BH_A0B7_01","TCGA_BH_A0H7_01","TCGA_A7_A13E_01","TCGA_A7_A13F_01","TCGA_E2_A15K.1_01","TCGA_BH_A18V.1_01","TCGA_BH_A18P_01","TCGA_BH_A18L_01","TCGA_BH_A1FR_01","TCGA_BH_A1EN_01","TCGA_BH_A1F8_01","TCGA_BH_A1FG_01","TCGA_BH_A1FH_01","TCGA_BH_A1FJ_01","TCGA_BH_A1EV_01","TCGA_E9_A1N4_01","TCGA_BH_A209_01","TCGA_BH_A203_01","TCGA_BH_A208_01","TCGA_BH_A204_01","TCGA_E2_A153_01","TCGA_A7_A0CE_01","TCGA_A7_A0CH_01","TCGA_BH_A0BV_01","TCGA_BH_A0BM_01","TCGA_BH_A0BC_01","TCGA_BH_A0E0_01","TCGA_BH_A0E1_01","TCGA_BH_A0DV_01","TCGA_BH_A0DT_01","TCGA_BH_A18N_01","TCGA_BH_A0DP_01","TCGA_BH_A0DK_01","TCGA_BH_A0DL_01","TCGA_BH_A0DG_01","TCGA_BH_A0DH_01","TCGA_BH_A0DD_01","TCGA_BH_A0C0_01","TCGA_BH_A0BZ_01","TCGA_BH_A0AY_01","TCGA_BH_A0BQ_01","TCGA_BH_A0AU_01","TCGA_BH_A0C3_01","TCGA_BH_A0BT_01","TCGA_BH_A0BA_01","TCGA_E2_A158_01","TCGA_BH_A0HA_01","TCGA_BH_A0H5_01","TCGA_BH_A0HK_01","TCGA_BH_A0H9_01","TCGA_BH_A0B5_01","TCGA_A7_A0DB_01","TCGA_A7_A0D9_01","TCGA_BH_A18U_01","TCGA_BH_A18S_01","TCGA_BH_A18Q_01","TCGA_BH_A18R_01","TCGA_BH_A18M_01","TCGA_BH_A18J_01","TCGA_E2_A1BC_01","TCGA_E2_A15M_01","TCGA_BH_A1EO_01","TCGA_BH_A1EU_01","TCGA_BH_A1ET_01","TCGA_BH_A1F0_01","TCGA_BH_A1F2_01","TCGA_BH_A1EW_01","TCGA_BH_A1FE.1_01","TCGA_BH_A1FD_01","TCGA_BH_A1FC_01","TCGA_BH_A1FB_01","TCGA_BH_A1FM_01","TCGA_BH_A1FN_01","TCGA_BH_A1F6_01","TCGA_E2_A15I_01","TCGA_E2_A1L7_01","TCGA_E2_A1LS_01","TCGA_E9_A1R7_01","TCGA_E9_A1RB_01","TCGA_E9_A1RC_01","TCGA_E9_A1RD_01","TCGA_E9_A1RF_01","TCGA_E9_A1RH_01","TCGA_E9_A1RI_01","TCGA_E2_A1IG_01","TCGA_E2_A1LB_01","TCGA_E9_A1ND_01","TCGA_E9_A1N5_01","TCGA_E9_A1N6_01","TCGA_E9_A1N9_01","TCGA_E9_A1NA_01","TCGA_E9_A1NF_01","TCGA_E9_A1NG_01","TCGA_GI_A2C8_01"
"NFKB1",-0.46973,-0.086634,-0.22444,-0.10296,-0.91906,0.60946,1.039,0.73175,-0.64886,1.0446,0.00047725,1.0298,0.55518,-0.51036,0.22816,0.19774,1.3074,1.4324,0.11388,0.50122,0.445,0.073691,0.51776,-0.13154,-0.26566,0.36033,0.23342,0.10324,0.44837,0.057251,0.99885,0.4795,1.1837,0.86352,1.0523,0.68266,-1.0081,0.52453,0.7305,0.34111,0.35716,0.96961,1.5332,-0.067134,-0.36611,0.86372,-0.31228,-0.26337,0.272,0.89235,0.43081,-0.062975,1.2562,-0.14914,-0.0035778,-0.62076,-0.095082,0.26895,0.16384,0.39414,0.078741,0.82204,0.0041749,0.63057,0.11556,0.3327,1.723,2.237,0.91982,0.72252,0.91551,-0.22252,0.51068,0.35947,0.3458,-0.41667,2.8178,0.19183,0.13088,-0.36767,0.81148,1.0684,-0.056695,-0.075304,0.46756,0.47493,-0.464,-0.025585,-0.76018,-0.031894,0.69004,0.08418,-0.12646,0.14389,0.17868,-0.48533,-0.30786,-0.24626,0.76606,0.76065,-0.27057,0.56835,1.0054,0.34224,0.76325,0.33089
"NF2",-0.57257,-0.66504,-0.98211,-0.51072,0.27634,-0.19063,-0.17373,-0.4588,-0.50671,-0.3398,0.19296,-0.37847,-0.2677,-0.88682,-0.22371,0.10722,0.53647,-0.052931,0.34813,-0.75816,-0.14196,0.14469,-0.53632,-0.17268,-0.26558,0.32138,0.30856,0.091125,-0.50157,-0.057602,0.012093,-0.32886,-0.62184,-0.63362,0.10824,-0.40223,0.02458,-0.79377,-0.34649,-0.53498,-0.25806,-0.40369,-0.60888,-0.3172,-0.29571,-0.26731,-0.64339,-0.52198,-0.24379,-0.24374,-0.56451,0.18428,-0.2541,-0.55269,-0.82185,-1.6769,-1.0218,0.26191,-0.79107,-0.03028,-0.034757,-0.50431,-0.12564,-0.58964,-0.67746,0.29315,0.31026,0.052316,-0.492,-0.80436,-0.88455,-0.22324,-0.68267,-0.41581,-0.39555,-0.041696,-0.10589,-0.23433,-0.39679,-0.16598,-0.14384,-0.15302,-0.23058,-0.17854,-0.041316,-0.3713,-0.87452,0.29999,0.56738,-0.20933,-0.019511,-0.86966,-0.089476,-0.282,-0.63689,-0.8209,-0.099408,-0.17052,-0.23979,0.70593,0.0076861,0.50558,-0.28176,-0.37307,-0.41083,-0.13911
"NOTCH1",-0.010537,0.054242,0.30182,0.15209,-0.058492,0.087686,-0.059514,-0.00011042,0.26698,0.28432,-0.045641,0.12423,-0.00088692,0.28702,1.4849,-0.090449,-0.16732,0.71431,-0.15313,0.23373,-0.12389,0.13929,-0.19081,-0.030397,0.13481,-0.022987,-0.17836,-0.11006,0.0095973,-0.034855,-0.037131,-0.21116,-0.037583,-0.05991,-0.29871,-0.021804,-0.20607,-0.086945,0.22943,0.11259,0.13985,-0.12596,0.22266,0.17062,0.045587,0.29544,-0.043534,-0.26192,-0.05311,-0.17231,-0.28671,-0.069331,-0.15497,-0.18819,-0.43268,-0.34773,0.10976,-0.27869,-0.06965,-0.31135,-0.13055,-0.15032,0.25014,-0.24018,0.17816,0.33932,-0.1997,0.021528,-0.012462,-0.137,0.2922,-0.041757,0.092822,-0.087012,-0.29615,-0.2925,0.14071,-0.18787,-0.12869,0.18677,-0.38337,1.2075,-0.087613,0.091441,-0.1476,0.087972,0.079239,-0.354,-0.098639,-0.055421,-0.12163,0.22978,-0.11735,0.16807,0.17034,-0.29443,-0.23029,-0.22695,-0.029892,-0.33405,-0.058051,-0.035773,-0.0041666,-0.052081,0.036559,-0.07387
"CDH3",-0.11998,0.074708,0.37782,0.39921,0.16899,-0.013322,-0.0032884,0.31435,0.2966,-0.17398,0.068561,0.23408,0.13101,0.59096,-0.088557,-0.20576,-0.27113,-0.1242,-0.26399,0.0019984,-0.14287,0.27937,-0.031398,0.029037,0.25233,-0.38861,-0.40517,-0.11596,-0.26545,-0.044541,0.16861,-0.12869,-0.0044124,0.10231,-0.20462,-0.12998,-0.089156,-0.10603,0.30758,0.13556,0.0093818,-0.036944,-0.10359,0.1281,0.11786,0.24764,-0.0041381,-0.062371,-0.020938,-0.04283,0.011643,0.0064858,0.14848,-0.12452,-0.13476,-0.14544,0.015892,0.36274,0.049743,0.034473,-0.19635,-0.06972,0.27778,-0.032798,-0.060342,0.3457,-0.23729,0.17887,-0.17385,0.061536,-0.1026,0.03919,-0.097257,0.04557,-0.37914,0.039215,-0.0038579,-0.10011,0.41976,0.14854,-0.21165,0.067864,0.015656,-0.26484,-0.11287,0.086975,-0.016716,-0.11287,0.27274,0.11272,-0.41359,-0.39153,-0.18527,-0.24306,0.33255,-0.30094,-0.30309,0.14076,0.23121,-0.23349,0.045057,-0.21085,0.0026023,-0.38363,-0.23798,-0.19559
"CDKN1B",0.033362,0.51452,0.30515,0.24972,0.34088,-0.1979,0.55756,0.029502,0.34029,0.49545,0.34629,-0.20213,0.14485,0.31657,0.18204,-0.28786,0.016608,-0.39371,0.26039,0.2516,-0.41716,-0.17499,-0.047551,0.67208,0.26775,-0.51309,-0.50311,-0.41073,0.24115,-0.33111,0.0087424,-0.31776,0.048913,0.034769,0.18333,0.30642,0.62072,0.026399,0.18481,0.35426,0.59099,0.61109,0.46603,-0.037118,-0.39564,-0.077565,0.34519,-0.31773,0.035028,-0.079573,0.1625,0.31775,0.4976,0.2279,0.60183,0.085728,0.16022,0.45021,0.62137,0.67516,0.58203,0.14051,0.54625,0.72049,0.24583,0.43046,0.12304,0.56065,0.28845,0.30819,-0.045956,0.33039,-0.032876,-0.2246,0.69613,0.29555,-0.37869,0.13418,0.13996,0.28676,0.25795,0.10168,0.48561,-0.023122,0.014918,-0.094528,0.60789,0.63176,0.17565,0.19924,0.1314,0.29208,0.013963,-0.063323,0.17009,0.36722,0.23083,-0.13345,-0.12951,0.11821,-0.30658,-0.13335,-0.10803,-0.24438,-0.18731,0.47473
"MAPK14",0.22686,0.048348,-0.27504,-0.02171,-0.21677,-0.027319,0.47444,0.21223,0.60204,0.73579,0.29141,0.070636,0.19555,-0.25368,-0.54893,0.52094,0.42968,0.073531,0.2087,0.14641,0.32358,-0.021555,0.20792,0.55901,-0.04352,0.07283,-0.059114,0.037366,0.12512,0.10836,0.26183,0.048088,0.3094,-0.17195,0.21003,0.45588,-0.0033482,0.35321,0.015793,0.076982,0.13671,0.27538,-0.25709,0.43672,0.19439,0.21147,0.46038,0.60272,0.26866,0.14751,0.23303,0.74622,0.46107,0.10807,0.2287,0.53644,0.1645,0.033312,0.49888,0.49039,-0.30549,0.31879,0.28772,0.18276,0.39856,0.59679,0.27338,0.085524,0.026446,0.48139,0.15771,0.29829,0.41236,0.15359,0.4731,0.25777,0.15764,0.34229,0.38561,0.22279,0.3051,0.17288,0.20355,0.47033,0.067181,0.049495,0.050803,-0.021045,-0.048959,0.2766,0.18799,-0.22207,0.34691,0.20844,-0.32891,0.38673,0.38787,-0.0019532,0.30578,0.33144,0.5229,0.096621,-0.027443,-0.0033412,0.21533,-0.030961
"TP53",-0.2652,-0.0029109,0.38629,0.66168,-0.061499,-0.36183,-0.17157,0.41249,-0.16408,-0.57784,-0.14282,-0.22364,-0.1392,-0.0011802,0.23265,-0.2456,-0.44805,-0.40388,-0.48137,0.23531,-0.35462,-0.1156,-0.23583,-0.35417,0.26831,-0.41148,-0.39907,-0.17699,0.20318,0.95819,-0.14273,-0.36684,-0.26383,0.22383,-0.072106,-0.060999,-0.12588,-0.32588,0.63109,0.10451,-0.15983,-0.34,-0.077688,-0.53378,-0.035615,0.15402,-0.2427,-0.44514,-0.15711,-0.097504,-0.12193,-0.26888,0.15353,-0.35589,-0.082587,0.19688,-0.45676,0.38192,-0.0042145,-0.57902,-0.24572,-0.41642,0.1038,-0.1759,-0.43906,-1.2352,-0.24163,-0.20464,-0.047429,-0.68199,0.044855,-0.90367,-0.38783,0.1028,-0.15134,-0.43086,-0.50719,0.011023,-0.95463,-0.014187,0.11054,-0.35999,-0.23227,-0.31833,0.47506,0.14647,-0.11217,0.75966,0.30367,-0.36084,-0.013149,0.054471,-0.30871,-0.26933,-0.52278,-0.24919,-0.31803,0.077809,0.39284,-0.32642,0.73026,-0.31538,-0.28595,0.24909,0.078127,0.22786
"RPS6KB1",0.11678,-0.22837,-0.93988,-0.18345,-0.24287,-0.11507,-0.035246,0.094456,0.17636,0.028277,0.047767,0.16615,0.031714,-0.8385,0.0038632,0.50881,-0.13867,-0.37261,-0.15974,0.51783,0.021746,-0.15446,0.032176,-0.085506,0.31395,0.015555,-0.49128,-0.28781,0.32458,0.026594,-0.3284,0.4567,0.24361,-0.25298,-0.066805,0.33149,-0.27852,-0.12498,-0.13908,-0.40683,-0.51967,-0.27493,-0.042062,0.013031,1.1147,0.060068,1.3596,-0.11388,0.97446,0.11944,-0.024246,-0.2823,-0.5258,0.01168,0.43682,-0.42378,-0.71509,-0.12832,-0.030514,0.034645,0.028139,0.1235,-0.29085,-0.14808,-0.24361,-0.037299,0.36979,0.16524,3.3249,0.08412,0.09526,0.022134,-0.17526,-0.68326,-0.25686,-0.07197,-0.22714,-0.16165,-0.20201,-0.21133,0.25943,0.52464,-0.54603,1.1308,0.14494,-0.47327,-0.20068,0.068346,-0.59579,0.40926,-0.085968,-0.27245,0.067128,0.87411,-0.5274,0.055674,0.91966,-0.05694,0.15609,0.046584,-0.10865,0.38201,1.0974,0.24483,0.011206,0.53886
"RPS6KA1",-0.07464,0.26164,0.71601,0.15472,0.18718,0.024878,1.1467,0.091664,0.026926,-0.31756,-0.16327,0.39948,0.0053933,0.42073,0.255,0.13563,0.43917,-0.2735,0.13033,0.50917,0.03841,0.17046,0.062257,-0.038672,0.46515,-0.041898,-0.069413,-0.11202,-0.26741,0.23625,0.092214,-0.42238,0.38399,0.80681,0.2539,-0.17473,-0.15371,-0.034082,0.079948,-0.20016,-0.11363,0.42749,0.22595,0.018809,-0.34299,0.16532,0.29928,0.27235,-0.27742,0.086343,0.19138,-0.26244,-0.19188,0.093257,0.6418,0.011461,0.24121,0.3351,-0.037195,0.18486,0.40942,0.23661,0.076999,0.19126,0.10797,-0.50737,0.56252,0.036626,0.15912,0.29438,0.12994,0.22459,0.20005,-0.018427,0.76628,0.87939,-0.065975,0.087255,-0.024908,0.06695,0.18888,-0.28353,0.19791,-0.31537,-0.073319,0.21441,0.48461,-0.31429,0.6431,0.17593,-0.035946,-0.14164,0.18681,-0.27451,0.37677,0.079683,-0.034213,0.33698,0.297,0.41411,0.26452,-0.21987,0.42145,0.20051,0.16224,0.30761
"SERPINE1",0.43105,0.35895,0.31686,-0.15493,1.1714,1.5989,-0.53841,0.61963,0.33118,1.0929,0.54736,0.30815,-0.15261,0.77315,-0.064726,0.51553,-0.12979,0.034079,-0.17645,0.6303,-0.18897,0.23138,0.8782,0.62442,0.56685,-0.10572,-0.22086,1.0253,-0.36976,-0.23806,0.25525,0.99924,0.42985,0.28014,-0.050823,-0.3099,0.35481,1.1534,0.50309,0.30858,0.081874,0.45756,0.11279,0.74271,0.53843,0.45714,-0.3747,1.0408,-0.085024,0.51052,0.13739,1.0505,-0.24368,-0.089262,-0.21779,0.99927,-0.3347,-0.56928,0.15373,-0.33273,-0.79186,-0.39863,0.17964,-0.073331,0.70674,0.74177,-0.65757,-0.11129,0.00070248,0.23434,1.0811,0.54119,-0.1738,0.73176,0.27768,0.35192,0.31962,0.65638,0.77973,0.55579,0.81754,-0.59276,0.17252,0.54348,1.571,0.65235,0.084415,0.16787,-0.47913,0.2052,-0.31571,1.4115,-0.095792,-0.10526,0.002872,-0.0033697,0.8248,0.64679,-0.1052,-0.092523,0.66233,-0.18818,0.62081,0.16421,0.69426,0.4207
"PXN",0.037723,-0.095907,-0.35234,-0.40865,0.63906,-0.62957,-0.43324,-0.28359,0.067357,0.058958,-0.1049,-0.13662,-0.10457,-0.41711,-0.26003,-0.014649,-0.077083,-0.41856,0.46147,0.023474,-0.199,-0.1927,0.3895,-0.75607,-0.10474,-0.19814,0.17638,0.27785,0.024693,-0.20916,-0.1436,-0.05177,0.061278,-0.061965,-0.043297,0.0030773,-0.4957,-0.18769,-0.48409,-0.15404,0.043879,-0.17358,-0.071446,0.065063,-0.24321,-0.38921,-0.57003,-0.14383,0.028776,-0.26841,-0.072246,-0.76683,-1.0668,-0.68032,-0.53236,-1.0005,-0.12706,0.094847,-0.36952,-0.13553,-0.13976,0.10239,-0.091331,-0.19261,-0.35247,0.31725,-0.51442,-0.097281,0.11541,-0.11981,0.094777,0.39107,0.029221,-0.50073,-0.77505,-0.0010476,-0.30665,0.014299,0.13255,0.11378,0.47544,-0.87146,-0.18174,0.59915,0.59682,-0.71339,-0.45994,-0.20159,-0.43352,0.28146,-0.090568,0.3828,-0.21598,0.31037,0.52596,0.31813,-0.24083,0.50074,-0.33436,-0.0073423,-0.16935,-0.050093,-0.39591,0.26003,0.37826,0.082331
"PCNA",0.50566,-0.22055,-0.40102,0.11582,-0.4554,0.039807,-0.11251,0.11522,-0.14949,-0.52072,-0.12703,-0.11829,-0.45283,-0.19226,-0.0014359,-0.21452,-0.017229,0.035449,-0.33773,-0.14005,-0.48455,-0.33913,-0.54081,-0.24617,-0.23799,-0.043023,-0.55877,-0.39163,0.095571,-0.36564,-0.33557,0.038948,-0.35238,0.091333,-0.39404,-0.1215,-0.21782,0.16256,-0.11891,-0.084856,0.018952,-0.2454,-0.50084,0.18528,-0.26563,-0.23347,-0.099805,-0.13796,-0.26309,-0.32839,-0.22519,0.29486,-0.051208,-0.10639,-0.15997,-0.038911,0.23596,0.098137,-0.1582,-0.1728,-0.30187,0.03693,0.081505,-0.1479,-0.2281,0.25392,-0.45607,-0.063637,-0.38314,-0.0078874,-0.25189,-0.3172,-0.39506,-0.2651,-0.47808,-0.44382,-0.26028,-0.25702,-0.049427,-0.3764,-0.21087,0.12842,-0.53574,-0.38449,-0.22684,-0.32786,-0.56628,0.14966,-0.58033,-0.3256,0.26106,-0.4307,-0.54262,-0.20972,-0.30868,-0.6438,-0.53065,-0.31956,-0.24926,-0.33826,0.073599,-0.10511,-0.15172,0.055938,-0.51717,-0.49716
"PDK1",0.69306,0.037891,-0.52927,0.10252,-0.45237,-0.033496,0.48654,0.062074,0.1327,0.36687,0.50492,0.087382,0.3693,-0.66603,-0.46145,0.072003,0.17856,-0.03518,-0.65339,0.10617,0.18158,0.059023,0.39661,1.298,-0.1304,0.10657,-0.24333,0.063701,-0.21351,-0.21057,0.36699,0.91796,0.8826,-0.3421,0.54012,0.51858,0.084549,0.18103,-0.054302,-0.20021,0.10172,0.3564,0.28019,0.21077,0.13687,0.034621,0.28012,0.28913,-0.20299,-0.054743,0.11832,0.71507,0.50675,0.25289,0.62316,0.34409,0.13195,-0.35895,0.086437,0.36572,0.49218,2.1635,-0.047294,0.5625,0.41202,0.16563,0.42913,0.18622,0.42613,0.42194,-0.049701,0.32705,0.36233,0.15615,0.54922,0.27111,0.26829,0.031184,-0.0049385,-0.10946,-0.030371,-0.17758,0.010971,0.67964,0.20786,-0.13068,0.23578,-0.33266,-0.13859,0.26657,0.28634,0.79768,0.26833,-0.11537,-0.44683,0.53262,0.22362,0.32203,-0.095567,0.46939,0.068983,0.16859,0.40062,0.32467,0.19474,0.13361
"PEA15",-0.28097,0.0028386,-0.37836,-0.31155,-0.21869,-0.1744,-0.19276,-0.17206,0.35129,0.43981,-0.142,-0.03997,-0.10216,-0.14353,-0.47886,0.177,0.13724,-0.10412,0.090878,-0.32856,0.24353,-0.24107,-0.15834,0.28036,0.097914,0.1307,0.19028,0.14139,-0.10527,-0.14908,0.12249,0.09592,0.17557,-0.52319,-0.081337,0.18763,0.45888,0.22604,0.0087895,-0.041226,0.54585,0.37689,-0.15567,-0.075356,-0.14765,-0.23673,0.19512,0.17261,-0.33032,-0.12793,0.10895,0.70198,0.16789,0.26174,-0.080459,-0.10634,0.10113,-0.29009,0.56459,0.16684,0.33616,0.042512,0.27405,-0.045348,0.13918,0.99734,0.31248,-0.30242,-0.32887,0.13288,0.30049,-0.10963,-0.085324,0.46552,0.43201,0.050382,-0.12993,-0.075789,0.15036,0.047222,-0.019202,-0.32516,-0.00079274,-0.0022399,-0.054046,-0.1899,-0.10938,0.085944,-0.17928,-0.022897,-0.17905,-0.49439,-0.086356,0.24218,-0.12372,0.4503,-0.05165,-0.08224,0.12584,0.080988,0.74712,-0.085268,-0.075464,-0.075293,0.25254,0.3515
"PIK3CA ",0.18212,0.17269,-0.052744,0.32526,0.059892,0.083713,0.20638,-0.055064,0.47719,0.30201,0.19766,0.14695,0.18564,-0.074919,-0.19859,0.037906,-0.34616,0.24153,-0.14945,0.046501,0.28272,0.12168,0.2237,0.63474,0.15,-0.16977,-0.2318,0.12895,0.17066,0.60878,0.17059,0.15701,0.081905,0.00085784,0.092112,0.48959,0.16527,0.13613,0.016843,0.1245,0.060254,0.1354,0.62205,0.25593,0.60953,0.64425,0.99207,-0.022167,0.13611,0.098029,0.18773,-0.14665,0.061361,0.23511,0.091744,-0.31771,-0.013328,0.54521,0.24467,0.11222,0.087479,0.087669,0.16461,0.092745,0.1068,0.41207,-0.15483,0.28353,0.22214,0.30243,-0.014113,0.29708,0.03341,-0.19392,0.038975,0.021819,0.17149,-0.022363,0.47153,0.030438,-0.056689,0.33422,0.16048,0.64785,0.2071,-0.12555,-0.11972,0.12459,-0.1131,-0.16056,-0.012804,-0.31932,-0.012219,0.035846,0.25889,0.50522,0.2117,-0.13431,-0.2922,0.20177,-0.14434,0.046836,0.15241,0.054431,-0.040102,0.25344
"PRKCA ",-0.82336,-0.1583,-0.23168,0.32315,1.7222,-0.56038,-0.60673,-0.5262,-0.066531,-0.40174,-0.79304,-0.28092,-0.44674,-0.62334,-0.60373,-1.0804,-0.5611,-0.87881,-0.55658,-0.62792,-0.18263,-0.47236,-0.601,-0.57763,-0.28825,-0.64697,-0.45769,-0.38761,-0.78163,-0.39046,-0.19849,-0.84177,-0.5705,-0.59041,-0.69881,-0.41069,-0.2021,-0.36228,-0.067118,-0.32103,0.57001,-0.37149,-0.68566,-0.21382,-0.53348,-0.023982,-0.21348,-0.61196,-0.50632,-0.56013,-0.46743,-0.083457,-0.60526,-0.72709,-0.72896,-0.48351,-0.32866,-0.42574,-0.58953,-0.25566,-0.4396,-0.44973,-0.2206,-0.55221,-0.14806,0.10427,-0.95706,-0.67108,-0.81023,-0.3235,-0.41416,-0.4268,-0.35787,-0.84337,-0.64397,-0.67952,-1.0514,-0.66021,-0.88258,-0.52317,-0.94695,-0.44752,-0.28992,-0.73053,-0.68501,-0.97133,-0.58694,-0.4752,-1.1043,-0.44006,-1.1376,-1.1399,-0.94101,-0.68653,-0.24303,-0.3214,-0.72439,-0.57734,-0.46789,-0.66276,-0.48124,-0.81365,-1.1356,-0.49557,-0.10299,-0.2004
"PRKCD",0.00059985,0.12008,-0.0054826,-0.027673,0.41861,-0.067591,-0.11657,-0.019816,-0.11942,-0.27769,0.034315,-0.070251,-0.063746,0.062901,-0.3365,-0.1935,-0.082819,-0.26604,-0.12489,0.14501,0.32696,-0.24165,-0.085527,-0.048918,0.030201,-0.072388,0.16079,-0.32864,-0.034431,0.10935,-0.27999,-0.062887,-0.046799,-0.1274,-0.0089422,-0.016664,0.086552,0.010764,0.062526,-0.017749,0.040385,-0.15625,-0.11178,-0.081227,0.007061,-0.030537,-0.17828,-0.082031,-0.023575,0.092508,0.23459,-0.29829,0.041162,-0.069128,0.14159,0.013795,-0.011332,-0.28198,-0.032135,-0.0083296,0.057037,0.15985,0.13528,-0.12882,-0.34233,-0.74567,-0.085234,-0.14816,-0.10996,-0.31876,-0.15528,-0.16544,-0.14831,0.03207,-0.045952,-0.054319,-0.18044,-0.089828,-0.58159,-0.26622,-0.1903,-0.083073,-0.16407,0.12509,-0.11573,-0.091653,-0.050271,-0.078102,-0.092416,-0.21421,-0.1193,-0.035292,-0.031217,0.19032,-0.33785,0.52902,-0.02239,0.02248,0.15531,-0.16895,-0.19439,-0.060309,-0.0044743,0.16886,0.15053,0.07137
"PGR",-0.02318,0.18042,0.34631,0.026164,-0.018157,-0.1279,-0.00599,-0.15704,0.24384,0.17514,0.0017829,-0.20525,-0.031199,0.61735,-0.18852,-0.016147,-0.24185,-0.18688,-0.31453,0.24154,0.3305,0.027186,-0.19061,0.1648,0.22862,0.70346,-0.15672,0.45931,-0.020908,-0.1409,-0.073044,0.11072,0.52602,-0.14094,0.66322,0.52418,-0.182,0.024937,-0.2072,0.33173,-0.015233,0.58532,0.82155,-0.10383,0.2317,-0.22623,-0.042933,0.24402,0.71197,0.24631,-0.13653,0.080239,0.21346,0.34382,-0.11016,0.42814,-0.069392,-0.18187,0.22393,-0.15633,-0.16353,-0.091531,-0.14114,0.53712,-0.072066,-0.067491,0.14771,-0.18199,-0.16766,0.58756,-0.057784,0.46161,0.36851,0.50613,0.7236,0.39569,-0.22622,-0.065776,0.31015,0.14457,0.66953,-0.27341,0.44066,-0.24103,0.039911,-0.24607,0.26026,0.45825,-0.21604,-0.15848,0.61776,0.44859,0.6314,-0.21541,-0.12367,0.058939,0.0041269,-0.21005,-0.24288,0.55519,0.28871,-0.23333,-0.17531,-0.16982,0.30455,-0.18481
"AKT1S1",0.31634,0.10829,-0.071014,-0.22352,-0.12111,-0.24279,0.09576,0.22078,-0.29627,-0.27624,-0.49791,0.43618,-0.36824,-0.068205,0.13478,-0.40768,-0.20888,-0.22483,0.07493,-0.12432,-0.23712,0.10306,0.23775,-0.046356,-0.15243,-0.16109,-0.00091515,-0.17626,-0.19291,-0.1879,0.16584,-0.53459,0.13165,0.21591,0.070217,-0.42139,-0.27738,-0.36458,0.18817,-0.39742,-0.3835,-0.058155,0.054119,-0.44767,-0.35639,0.074086,-0.32241,-0.17898,-0.31713,-0.037866,-0.11482,-0.60405,-0.23514,0.050999,0.21117,-0.11354,-0.25673,-0.092956,-0.17393,-0.067559,-0.023433,0.0097784,-0.011027,0.32553,-0.090511,-0.10203,0.03158,-0.17044,0.0049488,0.0073852,-0.11152,-0.15759,-0.21445,0.25364,0.0648,-0.072751,-0.068741,-0.12031,0.15306,-0.32877,-0.14202,-0.22724,0.124,-0.23616,0.19112,0.082552,-0.019973,-0.39235,-0.2565,0.086943,0.039351,-0.078391,-0.089441,-0.068745,0.19736,-0.11374,-0.33925,-0.18566,0.28484,-0.085839,-0.14517,-0.2594,0.028237,0.11299,-0.13728,-0.2148
"PTEN",0.37533,-0.50025,-0.85139,-0.084517,0.78703,0.41811,0.41686,-0.11585,0.13306,0.15531,0.80357,-0.27043,0.51641,-0.34823,-0.044073,0.35965,0.44946,0.47672,0.93952,-0.060578,0.67895,0.11522,0.05538,-1.2233,-0.1601,1.0686,0.24965,0.31903,0.45143,0.30793,0.24648,0.52051,0.53837,-0.05285,0.6896,0.61951,0.20588,0.41438,0.43008,0.026812,0.042342,0.24717,0.077498,0.23743,0.75778,0.6572,0.30601,0.45779,0.64707,-0.2927,0.43995,-0.57592,-0.13621,0.16515,0.59055,-0.15829,-0.027341,-0.1111,0.27425,0.17597,0.31598,0.18973,0.19996,-0.28816,0.041473,0.30401,0.62843,0.22853,0.45594,0.31567,0.78368,0.78502,-0.045495,-2.4267,0.49879,1.0211,0.43516,0.12012,-0.25657,0.21696,0.94973,0.34516,0.20347,1.7559,-0.53529,-0.67862,-0.14996,-0.0026492,-1.3409,-0.27801,0.061495,-1.2877,1.9873,0.12784,0.07495,1.1253,0.56349,0.22658,0.86917,1.2955,0.51305,0.22333,0.89994,-0.47572,0.9397,-0.69414
